No,Pb,As,Cd,Hg,Cr,Cu,Zn,Ni,Mn,pH ,TDs
1,6.400333333,2.803333333,2.407,0.244333333,144.07,67.65133333,59.06,98,1512,7.6,410
2,3.25,0.326666667,2.304,0.122,30.311,50.98066667,38.2189,28.2145,535.4123333,8.6,520
3,6.033666667,1.813333333,2.116666667,0.323666667,147.0666667,102.0523333,57.115,54.0085,1287.03,8.2,540
4,2.087333333,0.283033333,2.217333333,0.150666667,91.03266667,75.41533333,38,32,645.9966667,8.6,650
5,2.146666667,0.281,2.4,0.151666667,91.0707,78.00333333,37.25007,32.01,645.9933333,8.9,680
6,1.7,0.165,2.503333333,0.292633333,8.9705,88.33743333,40.14795,18.0005,286.4736667,8.6,590
7,4.083333333,0.49,3.403,0.014333,54.228,58.55613667,45.2105,25.142,654.0666667,8.3,440
8,5.376666667,1.166666667,1.936666667,0.239966667,85.12433333,69.23596667,74.395,56.362,524.0666667,8.2,360
9,3.997,0.183333333,0.25,0.103366667,1.121333333,2991.666667,69.1142,11.35345,20.4858,7.3,330
10,3.03,0.059,0.0603,0.010663333,41.25036667,59.23666667,65.2062,22.83995,546.9235667,7.5,360
11,4.033333333,0.0093,0.7,0.003286667,0.240666667,1.118333333,1.005,0.685,38.07333333,8.9,1000
12,17.27,0.261,0.973333333,0.004533333,11.80683333,26.89676667,16.93865,10,700.1806667,7.6,4520
13,11.054,0.227333333,0.783333333,0.1742,12.85,58.33333333,95.09975,22,349.0333333,8.4,660
14,12,0.644633333,0.210666667,0.208666667,10.39923333,49.46763333,105.1005,21.9926,558.895,8.8,310
15,10.06766667,0.110333333,0.21,0.009999667,9.6004,15.24476667,10.005,13.3206,142.0296667,8.7,500
16,14.19,0.113666667,0.805,0.00952,9.592296667,15.08083333,10.235,13.322,143.0666667,8.5,160
17,13.8,0.351,2.357633333,0.05177,20.42237667,44.0049,26.4205,36.475,330.2073333,8.5,100
18,8.03,0.106333333,0.103,0.049,8.610666667,18.20333333,17.10735,14.48,72.93733333,7.2,230
19,0.113333333,0.0133,0.44016,0.136666667,2.010666667,0.970466667,6.296,0.695,1.0234,8.4,480
20,3.092333333,0.093666667,1.133333333,0.0005,20.8366,39.77666667,33.1795,7.105,401.2824033,9.3,650
21,37.84,0.365,0.56966,0.042399667,62.16433333,82.33333333,65.7445,45.105,814.3333333,8.1,910
22,8.849666667,0.0549,1.057666667,0.006366667,9.129,67.13666667,17.50505,16.00735,600.5,8.7,470
23,10.50333333,0.082333333,1.076666667,0.008213333,15.04,138.0865667,78.45,32.0035,1317.029963,8.6,500
24,10.07,0.081066667,2.102,0.00798,15.94633333,139.368,78.6545,32.15,1359.23,9.3,650
